Starting price:$10.00
Day1, the price is: $10.57
Day115, the price is: $39.79
Day116, the price is: $39.51
Day117, the price is: $38.53
Day118, the price is: $41.77
Day119, the price is: $41.57
Day120, the price is: $45.03
Day121, the price is: $48.37
Day122, the price is: $51.27
Day123, the price is: $54.42
Day124, the price is: $51.97
Day125, the price is: $51.46
Day126, the price is: $49.65
Day127, the price is: $48.76
Day128, the price is: $46.75
Day129, the price is: $45.75
Day130, the price is: $45.79
Day131, the price is: $44.10
Day132, the price is: $42.17
Day133, the price is: $42.15
Day134, the price is: $42.07
Day135, the price is: $40.07
Day136, the price is: $38.39
Day137, the price is: $40.04
Day138, the price is: $39.96
Day139, the price is: $40.33
Day140, the price is: $43.94
Day141, the price is: $43.07
Day142, the price is: $43.09
Day143, the price is: $41.20
Day144, the price is: $42.26
Day145, the price is: $41.92
Day146, the price is: $40.25
Day147, the price is: $39.62
Day148, the price is: $40.23
Day149, the price is: $43.60
Day150, the price is: $44.41
Day151, the price is: $46.66
Day152, the price is: $48.01
Day153, the price is: $47.86
Day154, the price is: $45.60
Day155, the price is: $44.30
Day156, the price is: $42.53
Day157, the price is: $41.73
Day158, the price is: $41.45
Day159, the price is: $41.39
Day160, the price is: $42.32
Day161, the price is: $40.98
Day162, the price is: $39.66
Day163, the price is: $42.83
Day164, the price is: $42.35
Day165, the price is: $45.41
Day166, the price is: $44.48
Day167, the price is: $46.22
Day168, the price is: $45.39
Day169, the price is: $43.63
Day170, the price is: $43.47
Day171, the price is: $44.66
Day172, the price is: $45.01
Day173, the price is: $44.54
Day174, the price is: $42.85
Day175, the price is: $44.40
Day176, the price is: $43.23
Day177, the price is: $43.57
Day178, the price is: $41.67
Day179, the price is: $45.20
Day180, the price is: $44.81
Day181, the price is: $44.79
Day182, the price is: $44.59
Day183, the price is: $43.70
Day184, the price is: $44.97
Day185, the price is: $46.89
Day186, the price is: $49.44
Day187, the price is: $49.01
Day188, the price is: $49.08
Day189, the price is: $49.18
Day190, the price is: $50.01
Day191, the price is: $50.78
Day192, the price is: $48.65
Day193, the price is: $48.54
Day194, the price is: $46.57
Day195, the price is: $48.31
Day196, the price is: $48.71
Day197, the price is: $49.73
Day198, the price is: $54.44
Day199, the price is: $52.39
Day200, the price is: $55.14
Day201, the price is: $58.52
Day202, the price is: $62.34
Day203, the price is: $67.99
Day204, the price is: $72.00
Day205, the price is: $71.15
Day206, the price is: $70.84
Day207, the price is: $70.72
Day208, the price is: $75.09
Day209, the price is: $75.40
Day210, the price is: $82.48
Day211, the price is: $82.49
Day212, the price is: $82.22
Day213, the price is: $81.51
Day214, the price is: $79.06
Day215, the price is: $84.71
Day216, the price is: $83.45
Day217, the price is: $82.58
Day218, the price is: $84.86
Day219, the price is: $84.56
Day220, the price is: $83.76
Day221, the price is: $79.89
Day222, the price is: $82.76
Day223, the price is: $81.92
Day224, the price is: $87.57
Day225, the price is: $85.37
Day226, the price is: $93.34
Day227, the price is: $102.68
Day228, the price is: $109.46
Day229, the price is: $105.45
Day230, the price is: $115.42
Day231, the price is: $118.06
Day232, the price is: $120.76
Day233, the price is: $116.27
Day234, the price is: $125.71
Day235, the price is: $123.94
Day236, the price is: $124.41
Day237, the price is: $122.00
Day238, the price is: $116.46
Day239, the price is: $124.67
Day240, the price is: $120.95
Day241, the price is: $128.89
Day242, the price is: $124.91
Day243, the price is: $119.30
Day244, the price is: $121.07
Day245, the price is: $117.92
Day246, the price is: $127.49
Day247, the price is: $137.51
Day248, the price is: $135.09
Day249, the price is: $130.28
Day250, the price is: $126.31
Day251, the price is: $122.95
Day252, the price is: $125.92
Day253, the price is: $127.29
Day254, the price is: $138.58
Day255, the price is: $137.61
Day256, the price is: $145.45
Day257, the price is: $144.50
Day258, the price is: $141.55
Day259, the price is: $137.22
Day260, the price is: $141.51
Day261, the price is: $155.07
Day262, the price is: $153.04
Day263, the price is: $162.34
Day264, the price is: $157.69
Day265, the price is: $169.33
Day266, the price is: $163.19
Day267, the price is: $179.01
Day268, the price is: $196.32
Day269, the price is: $194.87
Day270, the price is: $195.72
Day271, the price is: $207.85
Day272, the price is: $200.11
Day273, the price is: $212.28
Day274, the price is: $213.82
Day275, the price is: $212.93
Day276, the price is: $205.65
Day277, the price is: $198.92
Day278, the price is: $192.46
Day279, the price is: $185.08
Day280, the price is: $183.64
Day281, the price is: $175.63
Day282, the price is: $191.22
Day283, the price is: $183.85
Day284, the price is: $195.89
Day285, the price is: $188.71
Day286, the price is: $200.27
Day287, the price is: $192.75
Day288, the price is: $193.59
Day289, the price is: $193.30
Day290, the price is: $185.75
Day291, the price is: $185.62
Day292, the price is: $195.27
Day293, the price is: $186.56
Day294, the price is: $188.58
Day295, the price is: $179.41
Day296, the price is: $193.03
Day297, the price is: $190.76
Day298, the price is: $185.95
Day299, the price is: $177.16
Day300, the price is: $187.17
Day301, the price is: $184.14
Day302, the price is: $192.15
Day303, the price is: $189.45
Day304, the price is: $186.94
Day305, the price is: $178.36
Day306, the price is: $172.09
Day307, the price is: $174.79
Day308, the price is: $179.60
Day309, the price is: $190.50
Day310, the price is: $189.59
Day311, the price is: $205.44
Day312, the price is: $205.13
Day313, the price is: $221.11
Day314, the price is: $213.33
Day315, the price is: $226.87
Day316, the price is: $241.30
Day317, the price is: $259.92
Day318, the price is: $261.54
Day319, the price is: $253.21
Day320, the price is: $254.33
Day321, the price is: $268.53
Day322, the price is: $263.44
Day323, the price is: $261.56
Day324, the price is: $258.75
Day325, the price is: $248.67
Day326, the price is: $270.86
Day327, the price is: $272.58
Day328, the price is: $262.26
Day329, the price is: $255.12
Day330, the price is: $255.10
Day331, the price is: $253.31
Day332, the price is: $246.78
Day333, the price is: $256.62
Day334, the price is: $281.57
Day335, the price is: $269.39
Day336, the price is: $293.91
Day337, the price is: $292.68
Day338, the price is: $284.66
Day339, the price is: $270.82
Day340, the price is: $259.83
Day341, the price is: $266.20
Day342, the price is: $283.17
Day343, the price is: $276.01
Day344, the price is: $276.96
Day345, the price is: $299.44
Day346, the price is: $326.75
Day347, the price is: $316.23
Day348, the price is: $326.36
Day349, the price is: $323.49
Day350, the price is: $338.46
Day351, the price is: $342.65
Day352, the price is: $340.58
Day353, the price is: $350.08
Day354, the price is: $342.24
Day355, the price is: $348.24
Day356, the price is: $376.11
Day357, the price is: $393.83
Day358, the price is: $389.36
Day359, the price is: $405.32
Day360, the price is: $391.21
Day361, the price is: $393.58
Day362, the price is: $382.62
Day363, the price is: $380.58
Day364, the price is: $362.00
Day365, the price is: $359.15
Day366, the price is: $357.09
Day367, the price is: $343.76
Day368, the price is: $367.71
Day369, the price is: $358.66
Day370, the price is: $375.07
Day371, the price is: $407.96
Day372, the price is: $427.39
Day373, the price is: $450.12
Day374, the price is: $472.40
Day375, the price is: $457.53
Day376, the price is: $460.84
Day377, the price is: $483.87
Day378, the price is: $529.52
Day379, the price is: $557.86
Day380, the price is: $536.40
Day381, the price is: $530.40
Day382, the price is: $529.09
Day383, the price is: $570.28
Day384, the price is: $560.54
Day385, the price is: $552.20
Day386, the price is: $605.34
Day387, the price is: $645.82
Day388, the price is: $647.36
Day389, the price is: $642.75
Day390, the price is: $664.99
Day391, the price is: $703.85
Day392, the price is: $684.52
Day393, the price is: $730.15
Day394, the price is: $723.39
Day395, the price is: $793.22
Day396, the price is: $839.58
Day397, the price is: $901.27
Day398, the price is: $980.98
Day399, the price is: $1,025.77
